time,zlev,latitude,longitude,sst
UTC,m,degrees_north,degrees_east,degree_C
1992-01-02T12:00:00Z,0.0,18.625,293.875,26.11
1992-01-02T12:00:00Z,0.0,18.625,294.125,26.08
1992-01-02T12:00:00Z,0.0,18.625,294.375,25.97
1992-01-02T12:00:00Z,0.0,18.625,294.625,25.87
1992-01-02T12:00:00Z,0.0,18.625,294.875,25.76
1992-01-02T12:00:00Z,0.0,18.625,295.125,25.65
1992-01-02T12:00:00Z,0.0,18.625,295.375,25.6
1992-01-02T12:00:00Z,0.0,18.625,295.625,25.52
1992-01-02T12:00:00Z,0.0,18.625,295.875,25.57
1992-01-02T12:00:00Z,0.0,18.625,296.125,25.66
1992-01-02T12:00:00Z,0.0,18.875,292.125,25.77
1992-01-02T12:00:00Z,0.0,18.875,292.375,25.8
1992-01-02T12:00:00Z,0.0,18.875,292.625,25.87
1992-01-02T12:00:00Z,0.0,18.875,292.875,25.98
1992-01-02T12:00:00Z,0.0,18.875,293.125,26.04
1992-01-02T12:00:00Z,0.0,18.875,293.375,26.08
1992-01-02T12:00:00Z,0.0,18.875,293.625,26.1
1992-01-02T12:00:00Z,0.0,18.875,293.875,26.06
1992-01-02T12:00:00Z,0.0,18.875,294.125,26.0
1992-01-02T12:00:00Z,0.0,18.875,294.375,25.92
1992-01-02T12:00:00Z,0.0,18.875,294.625,25.84
1992-01-02T12:00:00Z,0.0,18.875,294.875,25.73
1992-01-02T12:00:00Z,0.0,18.875,295.125,25.66
1992-01-02T12:00:00Z,0.0,18.875,295.375,25.59
1992-01-02T12:00:00Z,0.0,18.875,295.625,25.56
1992-01-02T12:00:00Z,0.0,18.875,295.875,25.67
1992-01-02T12:00:00Z,0.0,18.875,296.125,25.69
1992-01-02T12:00:00Z,0.0,19.125,292.125,25.66
1992-01-02T12:00:00Z,0.0,19.125,292.375,25.65
1992-01-02T12:00:00Z,0.0,19.125,292.625,25.68
1992-01-02T12:00:00Z,0.0,19.125,292.875,25.83
1992-01-02T12:00:00Z,0.0,19.125,293.125,25.9
1992-01-02T12:00:00Z,0.0,19.125,293.375,25.91
1992-01-02T12:00:00Z,0.0,19.125,293.625,25.92
1992-01-02T12:00:00Z,0.0,19.125,293.875,25.88
1992-01-02T12:00:00Z,0.0,19.125,294.125,25.84
1992-01-02T12:00:00Z,0.0,19.125,294.375,25.8
1992-01-02T12:00:00Z,0.0,19.125,294.625,25.71
1992-01-02T12:00:00Z,0.0,19.125,294.875,25.66
1992-01-02T12:00:00Z,0.0,19.125,295.125,25.61
1992-01-02T12:00:00Z,0.0,19.125,295.375,25.65
1992-01-02T12:00:00Z,0.0,19.125,295.625,25.71
1992-01-02T12:00:00Z,0.0,19.125,295.875,25.76
1992-01-02T12:00:00Z,0.0,19.125,296.125,25.72
1992-01-03T12:00:00Z,0.0,17.125,292.125,26.27
1992-01-03T12:00:00Z,0.0,17.125,292.375,26.26
1992-01-03T12:00:00Z,0.0,17.125,292.625,26.2
1992-01-03T12:00:00Z,0.0,17.125,292.875,26.16
1992-01-03T12:00:00Z,0.0,17.125,293.125,26.14
1992-01-03T12:00:00Z,0.0,17.125,293.375,26.12
