SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Cetengraulis edentulus,"ANCHOVETA,ATLANTIC",Atlantic anchoveta,6317,Engraulinae,pelagic-neritic,18.20000076,
Auxis rochei,"MACKEREL,BULLET",Bullet tuna,220,Scombrinae,pelagic-neritic,50,
Joturus pichardi,"MULLET,HOG",Bobo mullet,1658,NA,pelagic-neritic,61,
Chloroscombrus chrysurus,"BUMPER,ATLANTIC",Atlantic bumper,4797,Caranginae,pelagic-neritic,65,
Lagocephalus laevigatus,"PUFFER,SMOOTH",Smooth puffer,3142,Tetraodontinae,pelagic-neritic,100,
Scombridae,"TUNA AND MACKERELS,UNSPECIFI",NA,NA,Scombridae,pelagic-neritic,163.6,1
Scomberomorus cavalla,"MACKEREL,KING",King mackerel,2960,Scombrinae,pelagic-neritic,184,
Sphyraena guachancho,"BARRACUDA,GUAGUANCHE",Guachanche barracuda,997,NA,pelagic-neritic,200,
Coryphaena hippurus,DOLPHINFISH,Common dolphinfish,6651,NA,pelagic-neritic,210,
Decapterus macarellus,"SCAD,MACKEREL",Mackerel scad,10590,Caranginae,pelagic-oceanic,46,
Gempylidae,SNAKE MACKERELS,NA,NA,Gempylidae,pelagic-oceanic,100,1
Gempylus serpens,SNAKE MACKERELS,Snake mackerel,1960,NA,pelagic-oceanic,100,
Thunnus atlanticus,"TUNA,BLACKFIN",Blackfin tuna,8961,Scombrinae,pelagic-oceanic,107.9499969,
Katsuwonus pelamis,"TUNA,SKIPJACK",Skipjack tuna,4643,Scombrinae,pelagic-oceanic,110,
Euthynnus alletteratus,"TUNNY,LITTLE",Little tunny,7010,Scombrinae,pelagic-oceanic,122,
Thunnus alalunga,"TUNA,ALBACORE",Albacore,8961,Scombrinae,pelagic-oceanic,140,
Coryphaena equiselis,"DOLPHINFISH,POMPANO",Pompano dolphinfish,6651,NA,pelagic-oceanic,145.6999969,
Coryphaenidae,DOLPHINFISH,Coryphaena hippurus,NA,Coryphaenidae,pelagic-oceanic,210,
Thunnus albacares,"TUNA,YELLOWFIN",Yellowfin tuna,8961,Scombrinae,pelagic-oceanic,239,
Thunnus obesus,"TUNA,BIGEYE",Bigeye tuna,8961,Scombrinae,pelagic-oceanic,250,
Acanthocybium solandri,WAHOO,Wahoo,369,Scombrinae,pelagic-oceanic,250,
Istiophorus platypterus,SAILFISH,Indo-Pacific sailfish,3516,NA,pelagic-oceanic,348,
Prionace glauca,"SHARK,BLUE",Blue shark,2875,NA,pelagic-oceanic,400,
Sphyrna lewini,"SHARK,HAMMERHEAD,SCALLOPED",Scalloped hammerhead,30,NA,pelagic-oceanic,430,
Lamnidae,"SHARK,MACKEREL",NA,NA,Lamnidae,pelagic-oceanic,445,1
Isurus oxyrinchus,"SHARK,MAKO,SHORTFIN",Shortfin mako,6652,NA,pelagic-oceanic,445,
Xiphias gladius,SWORDFISH,Swordfish,2618,NA,pelagic-oceanic,455,
