SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Diodon hystrix,PORCUPINEFISH,Spot-fin porcupinefish,822,NA,pufferfishes,reef-associated,91,
Tetraodontidae,"PUFFERS,UNSPECIFIED",NA,NA,Tetraodontidae,pufferfishes,reef-associated,65,1
Lagocephalus laevigatus,"PUFFER,SMOOTH",Smooth puffer,3142,Tetraodontinae,pufferfishes,pelagic-neritic,100,
Sphoeroides spengleri,"PUFFER,BANDTAIL",Bandtail puffer,4586,Tetraodontinae,pufferfishes,reef-associated,30,
Dasyatis americana,"STINGRAY,SOUTHERN",Southern stingray,NA,Dasyatidae,rays,demersal,200,
Dasyatidae,"STINGRAYS,UNSPECIFIED",NA,NA,Dasyatidae,rays,demersal,200,1
Mobulidae,"RAYS,MANTA",NA,NA,Mobulidae,rays,pelagic,910,
Manta birostris,"RAYS,MANTA",Giant manta,NA,Mobulidae,rays,pelagic,910,
Myliobatidae,"RAYS,EAGLE",NA,NA,Myliobatidae,rays,demersal,230,
Aetobatus narinari,"RAY,SPOTTED EAGLE",Whitespotted eagle ray,3987,NA,rays,benthopelagic,230,
Echeneidae,REMORA,NA,NA,Echeneidae,remora,reef-associated,86.4,
Remora remora,REMORA,Shark sucker,847,NA,remora,reef-associated,86.40000153,
Echeneis naucrates,"REMORA,SHARKSUCKER",Live sharksucker,5569,NA,remora,reef-associated,110,
Histrio histrio,SARGASSUMFISH,Sargassumfish,3872,Antennariinae,sargassumfish,reef-associated,20,
Hippocampus reidi,"SEAHORSE,LONGSNOUT",Longsnout seahorse,5566,Syngnathinae,seahorse,reef-associated,17.5,
Carcharhinidae,"SHARKS,REQUIEM,UNSPECIFIED",NA,NA,Carcharhinidae,sharks,reef-associated,300,1
Hexanchus vitulus,"SHARK,BIGEYED SIXGILL",Bigeyed sixgill shark,NA,Hexanchidae,sharks,demersal,180,
Hexanchidae,"SHARK,COW",NA,NA,Hexanchidae,sharks,demersal,482,1
Lamnidae,"SHARK,MACKEREL",NA,NA,Lamnidae,sharks,pelagic-oceanic,445,1
Heptranchias perlo,"SHARK,SHARPNOSE SEVENGILL",Sharpnose sevengill shark,2342,NA,sharks,bathydemersal,137,
Rhincodon typus,"SHARK,WHALE",Whale shark,2283,NA,sharks,pelagic-oceanic,1700,
Isurus oxyrinchus,"SHARK,MAKO,SHORTFIN",Shortfin mako,6652,NA,sharks,pelagic-oceanic,445,
Galeocerdo cuvier,"SHARK,TIGER",Tiger shark,3620,NA,sharks,benthopelagic,750,
Prionace glauca,"SHARK,BLUE",Blue shark,2875,NA,sharks,pelagic-oceanic,400,
Carcharhinus limbatus,"SHARK,BLACKTIP",Blacktip shark,1358,NA,sharks,reef-associated,275,
Carcharhinus perezii,"SHARK,REEF",Caribbean reef shark,1358,NA,sharks,reef-associated,300,
Negaprion brevirostris,"SHARK,LEMON",Lemon shark,5927,NA,sharks,reef-associated,340,
Carcharhinus obscurus,"SHARK,DUSKY",Dusky shark,1358,NA,sharks,reef-associated,420,
Sphyrna lewini,"SHARK,HAMMERHEAD,SCALLOPED",Scalloped hammerhead,30,NA,sharks,pelagic-oceanic,430,
Sphyrna mokarran,"SHARK,HAMMERHEAD,GREAT",Great hammerhead,30,NA,sharks,pelagic-oceanic,610,
Ginglymostoma cirratum,"SHARK,NURSE",Nurse shark,1797,NA,sharks,reef-associated,430,
Orectolobidae,"SHARK,WOBBEGONGS",NA,NA,Orectolobidae,sharks,NA,NA,
Rhincodontidae,"SHARK,WHALE",NA,NA,Rhincodontidae,sharks,pelagic,1700,
Sphyrnidae,"SHARK,HAMMERHEAD,UNSPECIFIED",NA,NA,Sphyrnidae,sharks,pelagic-oceanic,520,1
Mustelus norrisi,"SHARK,SMOOTHHOUND,NARROWFIN",Narrowfin smooth-hound,6505,Triakinae,sharks,demersal,110,
Mustelus canis,"SHARK,DOGFISH,SMOOTH",Dusky smooth-hound,6505,Triakinae,sharks,demersal,150,
Crustacea,"SHELLFISH,UNSPECIFIED",NA,NA,Crustacea,shellfish,invert,NA,
Penaeus,"SHRIMP,PENAEUS,UNSPECIFIED",NA,NA,Penaeus,shrimp,invert,NA,
Atherinidae,SILVERSIDE,NA,NA,Atherinidae,silversides,reef-associated,10,1
Atherinomorus stipes,"SILVERSIDE,HARDHEAD",Hardhead silverside,2758,Atherinomorinae,silversides,reef-associated,10,
Eleotridae,SLEEPERS,NA,NA,Eleotridae,sleepers,demersal,57.5,1
Eleotris pisonis,"SLEEPER,SPINYCHEEK",Spinycheek sleeper,5744,Eleotrinae,sleepers,demersal,25,
Gobiomorus dormitor,"SLEEPER,BIGMOUTH",Bigmouth sleeper,2078,Eleotrinae,sleepers,demersal,90,
Cittarium pica,"TOPSNAIL,WEST INDIAN",NA,NA,NA,shellfish,invert,NA,
Gempylidae,SNAKE MACKERELS,NA,NA,Gempylidae,snake mackerels,pelagic-oceanic,100,1
Promethichthys prometheus,"SNAKE MACKEREL,PURPLE",Roudi escolar,2379,NA,snake mackerels,benthopelagic,100,
Ruvettus pretiosus,ESCOLAR,Oilfish,1045,NA,snake mackerels,benthopelagic,300,
Gempylus serpens,SNAKE MACKERELS,Snake mackerel,1960,NA,snake mackerels,pelagic-oceanic,100,
Apsilus dentatus,"SNAPPER,BLACK",Black snapper,1343,Apsilinae,snappers,reef-associated,65,
Etelis oculatus,"SNAPPER,QUEEN",Queen snapper,9802,Etelinae,snappers,bathydemersal,100,
Pristipomoides macropthalmus,"SNAPPER,CARDINAL",Cardinal snapper,NA,Lutjanidae,snappers,demersal,50,
Pristipomoides aquilonaris,WENCHMAN                 ,Wenchman,NA,Lutjanidae,snappers,demersal,56,
Lutjanidae,"SNAPPER,UNSPECIFIED",NA,NA,Lutjanidae,snappers,demersal,88.53,1
Rhomboplites aurorubens,"SNAPPER,VERMILION",Vermilion snapper,6165,Lutjaninae,snappers,demersal,60,
Lutjanus purpureus,"SNAPPER,CARIBBEAN RED",Southern red snapper,1202,Lutjaninae,snappers,demersal,100,
