SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Sphyrna mokarran,"SHARK,HAMMERHEAD,GREAT",Great hammerhead,30,NA,sharks,pelagic-oceanic,610,NA
,"SHARK,UNSPECIFIED",,,,sharks,demersal,377,
Crustacea,"SHELLFISH,UNSPECIFIED",NA,NA,Crustacea,shellfish,invert,NA,NA
Cittarium pica,"TOPSNAIL,WEST INDIAN",NA,NA,NA,shellfish,invert,NA,NA
,SEA CUCUMBERS,,,,shellfish,invert,NA,NA
,SEA URCHINS,,,,shellfish,invert,NA,NA
Apsilus dentatus,"SNAPPER,BLACK",Black snapper,1343,Apsilinae,snappers,reef-associated,65,NA
Etelis oculatus,"SNAPPER,QUEEN",Queen snapper,9802,Etelinae,snappers,bathydemersal,100,NA
Lutjanidae,"SNAPPER,UNSPECIFIED",NA,NA,Lutjanidae,snappers,demersal,88.53,1
Rhomboplites aurorubens,"SNAPPER,VERMILION",Vermilion snapper,6165,Lutjaninae,snappers,demersal,60,NA
Lutjanus mahogoni,"SNAPPER,MAHOGANY",Mahogany snapper,1202,Lutjaninae,snappers,reef-associated,48,NA
Lutjanus synagris,"SNAPPER,LANE",Lane snapper,1202,Lutjaninae,snappers,reef-associated,60,NA
Lutjanus buccanella,"SNAPPER,BLACKFIN",Blackfin snapper,1202,Lutjaninae,snappers,reef-associated,75,NA
Lutjanus vivanus,"SNAPPER,SILK",Silk snapper,1202,Lutjaninae,snappers,reef-associated,83,NA
Ocyurus chrysurus,"SNAPPER,YELLOWTAIL",Yellowtail snapper,6197,Lutjaninae,snappers,reef-associated,86.30000305,NA
Lutjanus griseus,"SNAPPER,GRAY",Grey snapper,1202,Lutjaninae,snappers,reef-associated,89,NA
Lutjanus analis,"SNAPPER,MUTTON",Mutton snapper,1202,Lutjaninae,snappers,reef-associated,94,NA
Lutjanus jocu,"SNAPPER, DOG",,,,snappers,reef-associated,128,NA
Lutjanus cyanopterus,"SNAPPER,CUBERA",Cubera snapper,1202,Lutjaninae,snappers,reef-associated,160,NA
Lutjanus apodus,SCHOOLMASTER,,,,snappers,reef-associated,79.1,NA
Pristipomoides aquilonaris,"SNAPPER,WENCHMAN",,,,snappers,reef-associated,56,NA
Centropomidae,"SNOOK,UNSPECIFIED",Common snook,NA,Centropomidae,snook,demersal,140,NA
Ephippididae,SPADEFISH,,,,spadefish,demersal,91,NA
