N,logbook,adj,shellcatch,second_name,third_name
12,"MULLET,MOUNTAIN",MOUNTAIN MULLET,,,
61,"MULLET,UNSPECIFIED",UNSPECIFIED MULLET,,,
29881,"MULLET,WHITE",WHITE MULLET,WHITE MULLET,,
5,"NEEDLEFISH,FLAT",FLAT NEEDLEFISH,,,
8,"NEEDLEFISH,UNSPECIFIED",UNSPECIFIED NEEDLEFISH,,,
51631,"OCTOPUS,UNSPECIFIED",UNSPECIFIED OCTOPUS,OCTOPUS,,
24,PALOMETA,PALOMETA,,,
10,"PARROTFISH,BLUE",BLUE PARROTFISH,,,
4,"PARROTFISH,MIDNIGHT",MIDNIGHT PARROTFISH,,,
146,"PARROTFISH,RAINBOW",RAINBOW PARROTFISH,,,
9,"PARROTFISH,REDTAIL",REDTAIL PARROTFISH,REDTAIL PARROTFISH,,
39,"PARROTFISH,STOPLIGHT",STOPLIGHT PARROTFISH,STOPLIGHT PARROTFISH,,
69337,"PARROTFISHES,UNSPECIFIED",UNSPECIFIED PARROTFISHES,PARROTFISHES,,
704,PERMIT,PERMIT,,,
97,"POMPANO,AFRICAN",AFRICAN POMPANO,AFRICAN POMPANO,,
8,"POMPANO,FLORIDA",FLORIDA POMPANO,,,
12,PORCUPINEFISH,PORCUPINEFISH,,,
2,PORGY (CALAMUS),PORGY (CALAMUS),,,
123,"PORGY,JOLTHEAD",JOLTHEAD PORGY,JOLTHEAD PORGY,,
22,"PORGY,PLUMA",PLUMA PORGY,,,
1,"PORGY,SAUCEREYE",SAUCEREYE PORGY,,,
39,"PORGY,SEA BREAM",SEA BREAM PORGY,SEA BREAM,,
5,"PORGY,SHEEPSHEAD (CALAMUS)",SHEEPSHEAD (CALAMUS) PORGY,,,
45452,"PORGY,UNSPECIFIED",UNSPECIFIED PORGY,PORGIES,,
16,"PUFFER,BANDTAIL",BANDTAIL PUFFER,,,
2,"PUFFER,SMOOTH",SMOOTH PUFFER,,,
1,"PUFFERS,UNSPECIFIED",UNSPECIFIED PUFFERS,,,
258,RAINBOW RUNNER,RAINBOW RUNNER,RAINBOW RUNNER,,
171,"RAY,SPOTTED EAGLE",SPOTTED EAGLE RAY,SPOTTED EAGLE RAY,,
34,"RAYS,EAGLE",EAGLE RAYS,,,
271,"RAYS,MANTA",MANTA RAYS,,,
8,REMORA,REMORA,,,
112,"REMORA,SHARKSUCKER",SHARKSUCKER REMORA,,,
22,SAILFISH,SAILFISH,,,
11,"SAND PERCH,DWARF",DWARF SAND PERCH,,,
70,"SARDINE,REDEAR",REDEAR SARDINE,REDEAR SARDINE,,
42,"SARDINE,SCALED",SCALED SARDINE,SCALED SARDI,,
15,SARGASSUMFISH,SARGASSUMFISH,,,
1192,"SCAD,BIGEYE",BIGEYE SCAD,BIGEYE SCAD,,
16,"SCAD,MACKEREL",MACKEREL SCAD,,,
45,"SCAD,ROUND",ROUND SCAD,,,
173,"SCOMBROPS,ATLANTIC",ATLANTIC SCOMBROPS,ATLANTIC SCOMBRUPS,,
3,"SEAHORSE,LONGSNOUT",LONGSNOUT SEAHORSE,,,
8,"SHARK,BIGEYED SIXGILL",BIGEYED SIXGILL SHARK,,,
1,"SHARK,BLACKTIP",BLACKTIP SHARK,,,
6,"SHARK,BLUE",BLUE SHARK,,,
10,"SHARK,COW",COW SHARK,,,
1,"SHARK,DOGFISH,SMOOTH",SMOOTH DOGFISH SHARK,SMOOTH DOGFISH,,
3,"SHARK,DUSKY",DUSKY SHARK,,,
22,"SHARK,HAMMERHEAD,GREAT",GREAT HAMMERHEAD SHARK,,,
20,"SHARK,HAMMERHEAD,SCALLOPED",SCALLOPED HAMMERHEAD SHARK,,,
4,"SHARK,HAMMERHEAD,UNSPECIFIED",UNSPECIFIED HAMMERHEAD SHARK,,,
358,"SHARK,LEMON",LEMON SHARK,LEMON SHARK,,
5,"SHARK,MACKEREL",MACKEREL SHARK,,,
8,"SHARK,MAKO,SHORTFIN",SHORTFIN MAKO SHARK,,,
14,"SHARK,NURSE",NURSE SHARK,,,
165,"SHARK,REEF",REEF SHARK,REEF SHARK,,
47,"SHARK,SHARPNOSE SEVENGILL",SHARPNOSE SEVENGILL SHARK,SEVEN-GILL SHARK,,
2,"SHARK,SMOOTHHOUND,NARROWFIN",NARROWFIN SMOOTHHOUND SHARK,,,
378,"SHARK,TIGER",TIGER SHARK,TIGER SHARK,,
10,"SHARK,WHALE",WHALE SHARK,,,
4,"SHARK,WOBBEGONGS",WOBBEGONGS SHARK,,,
15265,"SHARKS,REQUIEM,UNSPECIFIED",UNSPECIFIED REQUIEM SHARKS,REQUIEM SHARKS,,
5690,"SHELLFISH,UNSPECIFIED",UNSPECIFIED SHELLFISH,,,
728,"SHRIMP,PENAEUS,UNSPECIFIED",UNSPECIFIED PENAEUS SHRIMP,,,
1,SILVERSIDE,SILVERSIDE,,,
2,"SILVERSIDE,HARDHEAD",HARDHEAD SILVERSIDE,,,
7,"SLEEPER,BIGMOUTH",BIGMOUTH SLEEPER,,,
4,"SLEEPER,SPINYCHEEK",SPINYCHEEK SLEEPER,,,
10,SLEEPERS,SLEEPERS,,,
8,"SNAKE MACKEREL,PURPLE",PURPLE SNAKE MACKEREL,,,
7,SNAKE MACKERELS,SNAKE MACKERELS,SNAKE MACKAREL,,
1855,"SNAPPER,BLACK",BLACK SNAPPER,BLACK SNAPPER,,
5715,"SNAPPER,BLACKFIN",BLACKFIN SNAPPER,BLACKFIN SNAPPER,,
7603,"SNAPPER,CARDINAL",CARDINAL SNAPPER,CARDINAL,WENCHMAN,
