"N","logbook","adj","shellcatch","unmatched"
16,"GRUNT,BURRO","BURRO GRUNT",NA,NA
1,"GRUNT,CAESAR","CAESAR GRUNT",NA,NA
2,"GRUNT,COTTONWICK","COTTONWICK GRUNT",NA,NA
4,"GRUNT,FRENCH","FRENCH GRUNT",NA,NA
1187,"GRUNT,MARGATE","MARGATE GRUNT","MARGATE",NA
5,"GRUNT,PORKFISH","PORKFISH GRUNT",NA,NA
23,"GRUNT,SMALLMOUTH","SMALLMOUTH GRUNT",NA,NA
10,"GRUNT,SPANISH","SPANISH GRUNT",NA,NA
13,"GRUNT,TOMTATE","TOMTATE GRUNT",NA,NA
9157,"GRUNT,UNSPECIFIED","UNSPECIFIED GRUNT",NA,NA
110100,"GRUNT,WHITE","WHITE GRUNT","WHITE GRUNT",NA
508,"HALFBEAK,SILVERSTRIPE","SILVERSTRIPE HALFBEAK",NA,NA
1,"HAMLET,BLACK","BLACK HAMLET",NA,NA
3,"HAMLET,MUTTON","MUTTON HAMLET",NA,NA
4,"HARVESTFISH,NORTHERN","NORTHERN HARVESTFISH",NA,NA
296,"HERRING,ATLANTIC THREAD","ATLANTIC THREAD HERRING","THREAD HERRING",NA
1,"HERRING,DOGTOOTH","DOGTOOTH HERRING","HERRING",NA
9,"HERRING,DWARF","DWARF HERRING","HERRING",NA
20888,"HERRING,SARDINELLA","SARDINELLA HERRING","HERRING",NA
90673,"HOGFISH","HOGFISH","HOGFISH",NA
104,"HOUNDFISH","HOUNDFISH","HOUNDFISH",NA
515,"JACK,ALMACO","ALMACO JACK",NA,NA
34704,"JACK,BAR","BAR JACK","BAR JACK",NA
25,"JACK,BLACK","BLACK JACK",NA,NA
5,"JACK,CREVALLE","CREVALLE JACK","CREVALLE JACK",NA
3488,"JACK,HORSE-EYE","HORSE-EYE JACK",NA,NA
1449,"JACK,YELLOW","YELLOW JACK","YELLOW JACK",NA
30586,"JACKS","JACKS","JACKS",NA
231,"LADYFISH","LADYFISH","LADYFISH",NA
13,"LEATHERJACK","LEATHERJACK",NA,NA
1884,"LIONFISH","LIONFISH",NA,NA
4,"LIZARDFISH,SAND DIVER","SAND DIVER LIZARDFISH",NA,NA
6,"LIZARDFISH,UNSPECIFIED","UNSPECIFIED LIZARDFISH",NA,NA
689,"LOBSTER,RIDGED SLIPPER","RIDGED SLIPPER LOBSTER","SLIPPER LOBSTER",NA
1409,"LOBSTER,SPANISH SLIPPER","SPANISH SLIPPER LOBSTER","SLIPPER LOBSTER",NA
182,"LOBSTER,SPOTTED SPINY","SPOTTED SPINY LOBSTER","SPINY LOBSTER",NA
334271,"LOBSTERS,SPINY","SPINY LOBSTERS","SPINY LOBSTER",NA
11,"MACKEREL,BULLET","BULLET MACKEREL",NA,NA
25471,"MACKEREL,CERO","CERO MACKEREL","CERO",NA
70796,"MACKEREL,KING","KING MACKEREL",NA,NA
3,"MAN-OF-WAR FISH","MAN-OF-WAR FISH",NA,NA
748,"MANGROVE OYSTER","MANGROVE OYSTER",NA,NA
416,"MARLIN,BLUE","BLUE MARLIN",NA,NA
319,"MARLIN,UNSPECIFIED","UNSPECIFIED MARLIN",NA,NA
6,"MARLIN,WHITE","WHITE MARLIN",NA,NA
15,"MOJARRA,RHOMBOID","RHOMBOID MOJARRA",NA,NA
28,"MOJARRA,SILVER JENNY","SILVER JENNY MOJARRA","SILVER JENNY",NA
26,"MOJARRA,STRIPED","STRIPED MOJARRA",NA,NA
171,"MOJARRA,YELLOWFIN","YELLOWFIN MOJARRA","YELLOWFIN MOJARRA",NA
15816,"MOJARRAS,UNSPECIFIED","UNSPECIFIED MOJARRAS","MOJARRAS",NA
673,"MOONFISH,ATLANTIC","ATLANTIC MOONFISH","ATLANTIC MOONFISH",NA
9,"MULLET,HOG","HOG MULLET",NA,NA
115,"MULLET,LIZA","LIZA MULLET",NA,NA
12,"MULLET,MOUNTAIN","MOUNTAIN MULLET",NA,NA
61,"MULLET,UNSPECIFIED","UNSPECIFIED MULLET",NA,NA
29881,"MULLET,WHITE","WHITE MULLET","WHITE MULLET",NA
5,"NEEDLEFISH,FLAT","FLAT NEEDLEFISH",NA,NA
8,"NEEDLEFISH,UNSPECIFIED","UNSPECIFIED NEEDLEFISH",NA,NA
51631,"OCTOPUS,UNSPECIFIED","UNSPECIFIED OCTOPUS","OCTOPUS",NA
24,"PALOMETA","PALOMETA",NA,NA
10,"PARROTFISH,BLUE","BLUE PARROTFISH",NA,NA
4,"PARROTFISH,MIDNIGHT","MIDNIGHT PARROTFISH",NA,NA
146,"PARROTFISH,RAINBOW","RAINBOW PARROTFISH",NA,NA
9,"PARROTFISH,REDTAIL","REDTAIL PARROTFISH","REDTAIL PARROTFISH",NA
39,"PARROTFISH,STOPLIGHT","STOPLIGHT PARROTFISH","STOPLIGHT PARROTFISH",NA
69337,"PARROTFISHES,UNSPECIFIED","UNSPECIFIED PARROTFISHES","PARROTFISHES",NA
704,"PERMIT","PERMIT",NA,NA
97,"POMPANO,AFRICAN","AFRICAN POMPANO","AFRICAN POMPANO",NA
8,"POMPANO,FLORIDA","FLORIDA POMPANO",NA,NA
12,"PORCUPINEFISH","PORCUPINEFISH",NA,NA
2,"PORGY (CALAMUS)","PORGY (CALAMUS)",NA,NA
123,"PORGY,JOLTHEAD","JOLTHEAD PORGY","JOLTHEAD PORGY",NA
22,"PORGY,PLUMA","PLUMA PORGY",NA,NA
1,"PORGY,SAUCEREYE","SAUCEREYE PORGY",NA,NA
39,"PORGY,SEA BREAM","SEA BREAM PORGY","SEA BREAM",NA
5,"PORGY,SHEEPSHEAD (CALAMUS)","SHEEPSHEAD (CALAMUS) PORGY",NA,NA
45452,"PORGY,UNSPECIFIED","UNSPECIFIED PORGY",NA,NA
16,"PUFFER,BANDTAIL","BANDTAIL PUFFER",NA,NA
2,"PUFFER,SMOOTH","SMOOTH PUFFER",NA,NA
1,"PUFFERS,UNSPECIFIED","UNSPECIFIED PUFFERS",NA,NA
258,"RAINBOW RUNNER","RAINBOW RUNNER","RAINBOW RUNNER",NA
