SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Cantherhines pullus,"FILEFISH,ORANGESPOTTED",Orangespotted filefish,508,NA,filefishes,reef-associated,20,NA,NA
Cypselurus melanurus,"FLYINGFISH, ATLANTIC",NA,NA,Exocoetidae,flyingfish,pelagic,32,NA,NA
Exocoetidae,"FLYINGFISH,UNSPECIFIED",NA,NA,Exocoetidae,flyingfish,pelagic,32,NA,1
Mullidae,"GOATFISH,UNSPECIFIED",NA,NA,Mullidae,goatfishes,reef-associated,37.4,NA,1
Pseudupeneus maculatus,"GOATFISH,SPOTTED",Spotted goatfish,2722,NA,goatfishes,reef-associated,30,NA,1
Mulloidichthys martinicus,"GOATFISH,YELLOW",Yellow goatfish,10232,NA,goatfishes,reef-associated,44.79999924,NA,1
Gonioplectrus hispanus,SPANISH FLAG,Spanish flag,4428,Epinephelinae,groupers,demersal,30,NA,NA
Epinephelus adscensionis,"GROUPER,ROCK HIND",Rock hind,7755,Epinephelinae,groupers,demersal,65,NA,NA
Paranthias furcifer,CREOLE-FISH,Creole-fish,3721,Epinephelinae,groupers,reef-associated,30,NA,NA
Alphestes afer,"HAMLET,MUTTON",Mutton hamlet,8032,Epinephelinae,groupers,reef-associated,33,NA,NA
Cephalopholis fulva,"GROUPER,CONEY",Coney,6535,Epinephelinae,groupers,reef-associated,44,NA,1
Epinephelus guttatus,"GROUPER,RED HIND",Red hind,7755,Epinephelinae,groupers,reef-associated,76,NA,1
Mycteroperca interstitialis,"GROUPER,YELLOWMOUTH",Yellowmouth grouper,4738,Epinephelinae,groupers,reef-associated,84,NA,1
Mycteroperca venenosa,"GROUPER,YELLOWFIN",Yellowfin grouper,4738,Epinephelinae,groupers,reef-associated,100,NA,1
Mycteroperca tigris,"GROUPER,TIGER",Tiger grouper,4738,Epinephelinae,groupers,reef-associated,101,NA,1
Epinephelus striatus,"GROUPER,NASSAU",Nassau grouper,7755,Epinephelinae,groupers,reef-associated,122,NA,NA
Epinephelus morio,"GROUPER,RED",Red grouper,7755,Epinephelinae,groupers,reef-associated,125,NA,1
Mycteroperca bonaci,"GROUPER,BLACK",Black grouper,4738,Epinephelinae,groupers,reef-associated,150,NA,NA
Epinephelus itajara,"GROUPER,GOLIATH",Atlantic goliath grouper,7755,Epinephelinae,groupers,reef-associated,250,NA,NA
Epinephelus cruentatus,"GROUPER,GRAYSBY",Graysby,NA,Epinephelinae,groupers,reef-associated,42.6,NA,1
Epinephelus flavolimbatus,"GROUPER,YELLOWEDGE",Yellowedge grouper,NA,Epinephelinae,groupers,reef-associated,115,NA,1
Grammistidae,SOAPFISH,NA,NA,Grammistidae,groupers,reef-associated,35,1,NA
Rypticus saponaceus,"SOAPFISH,GREATER",Greater soapfish,816,Grammistinae,groupers,reef-associated,35,NA,NA
Epinephelus inermis,"GROUPER,MARBLED",Marbled grouper,NA,Serranidae,groupers,reef-associated,91,NA,NA
Serranidae,"GROUPER,UNSPECIFIED",NA,NA,Serranidae,groupers,reef-associated,108.97,1,1
Epinephelus mystacinus,"GROUPER,MISTY",Misty grouper,NA,Serranidae,groupers,reef-associated,160,NA,1
Serranus tortugarum,"BASS,CHALK",Chalk bass,5359,Serraninae,groupers,reef-associated,8,NA,NA
Hypoplectrus nigricans,"HAMLET,BLACK",Black hamlet,1363,Serraninae,groupers,reef-associated,15.23999977,NA,NA
Serranus phoebe,TATTLER,Tattler,5359,Serraninae,groupers,reef-associated,20,NA,NA
Serranus tabacarius,TOBACCOFISH,Tobaccofish,5359,Serraninae,groupers,reef-associated,22,NA,NA
Diplectrum bivittatum,"SAND PERCH,DWARF",Dwarf sand perch,10490,Serraninae,groupers,reef-associated,25,NA,NA
Mycteroperca bonaci,"GROUPER, BLACK",,,,groupers,reef-associated,150,,1
Epinephelus adscensionis ,"HIND, ROCK",,,,groupers,reef-associated,65,,1
Epinephelus striatus,NASSAU GROUPER,,,,groupers,reef-associated,122,,1
Haemulidae,"GRUNT,UNSPECIFIED",NA,NA,Haemulidae,grunts,demersal,41.785,1,1
Haemulon plumieri,"GRUNT,WHITE",NA,NA,Haemulidae,grunts,reef-associated,53,NA,1
Conodon nobilis,"GRUNT,BARRED",Barred grunt,4477,Haemulinae,grunts,demersal,33.59999847,NA,NA
Pomadasys crocro,"GRUNT,BURRO",Burro grunt,3076,Haemulinae,grunts,demersal,38,NA,NA
Haemulon chrysargyreum,"GRUNT,SMALLMOUTH",Smallmouth grunt,1239,Haemulinae,grunts,reef-associated,23,NA,NA
Haemulon aurolineatum,"GRUNT,TOMTATE",Tomtate grunt,1239,Haemulinae,grunts,reef-associated,25,NA,1
Haemulon flavolineatum,"GRUNT,FRENCH",French grunt,1239,Haemulinae,grunts,reef-associated,30,NA,1
Haemulon melanurum,"GRUNT,COTTONWICK",Cottonwick grunt,1239,Haemulinae,grunts,reef-associated,33,NA,1
Haemulon carbonarium,"GRUNT,CAESAR",Caesar grunt,1239,Haemulinae,grunts,reef-associated,36,NA,1
Haemulon bonariense,"GRUNT,BLACK",Black grunt,1239,Haemulinae,grunts,reef-associated,40,NA,NA
Anisotremus virginicus,"GRUNT,PORKFISH",Porkfish,1849,Haemulinae,grunts,reef-associated,40.59999847,NA,NA
Haemulon macrostomum,"GRUNT,SPANISH",Spanish grunt,1239,Haemulinae,grunts,reef-associated,43,NA,NA
Haemulon sciurus,"GRUNT,BLUESTRIPED",Bluestriped grunt,1239,Haemulinae,grunts,reef-associated,46,NA,1
Anisotremus surinamensis,"GRUNT,BLACK MARGATE",Black margate,1849,Haemulinae,grunts,reef-associated,76,NA,NA
Haemulon album,"GRUNT,MARGATE",White margate,1239,Haemulinae,grunts,reef-associated,79,NA,1
Haemulon macrostomum,"GRUNT, SPANISH",,,,grunts,reef-associated,43,,1
Anisotremus virginicus,PORKFISH,,,,grunts,reef-associated,40.6,,1
Dactylopteridae,FLYING GUNARD,NA,NA,Dactylopteridae,gurnard,reef-associated,50,NA,NA
Dactylopterus volitans,FLYING GUNARD,Flying gurnard,1858,NA,gurnard,reef-associated,50,NA,NA
Hyporhamphus unifasciatus,"HALFBEAK,SILVERSTRIPE",Common halfbeak,2029,NA,halfbeaks,reef-associated,30,NA,NA
Hemiramphus brasiliensis,BALLYHOO,Ballyhoo halfbeak,5247,NA,halfbeaks,reef-associated,55,NA,1
Harengula jaguana,"SARDINE,SCALED",Scaled herring,6654,Dorosomatinae,herrings,reef-associated,21.20000076,NA,NA
Harengula humeralis,"SARDINE,REDEAR",Redear herring,6654,Dorosomatinae,herrings,reef-associated,22,NA,NA
Opisthonema oglinum,"HERRING,ATLANTIC THREAD",Atlantic thread herring,5705,Dorosomatinae,herrings,reef-associated,38,NA,NA
Chirocentrodon bleekerianus,"HERRING,DOGTOOTH",Dogtooth herring,4436,NA,herrings,pelagic-neritic,16.10000038,NA,NA
Jenkinsia lamprotaenia,"HERRING,DWARF",Dwarf round herring,7908,NA,herrings,reef-associated,7.5,NA,NA
Sardinella,"HERRING,SARDINELLA",NA,NA,Sardinella,herrings,reef-associated,20.5,1,1
Sardinella,HERRINGS,,,,herrings,reef-associated,20.5,,1
Carangidae,JACKS,NA,NA,Carangidae,jacks,reef-associated,82.4,1,1
Selene setapinnis,"MOONFISH,ATLANTIC",Atlantic moonfish,3554,Caranginae,jacks,benthopelagic,60,NA,NA
Caranx lugubris,"JACK,BLACK",Black jack,3864,Caranginae,jacks,benthopelagic,100,NA,NA
Chloroscombrus chrysurus,"BUMPER,ATLANTIC",Atlantic bumper,4797,Caranginae,jacks,pelagic-neritic,65,NA,NA
Decapterus macarellus,"SCAD,MACKEREL",Mackerel scad,10590,Caranginae,jacks,pelagic-oceanic,46,NA,1
Decapterus punctatus,"SCAD,ROUND",Round scad,10590,Caranginae,jacks,reef-associated,30,NA,NA
Caranx crysos,BLUE RUNNER,Blue runner,3864,Caranginae,jacks,reef-associated,70,NA,1
Selar crumenophthalmus,"SCAD,BIGEYE",Bigeye scad,3942,Caranginae,jacks,reef-associated,70,NA,1
Caranx ruber,"JACK,BAR",Bar jack,3864,Caranginae,jacks,reef-associated,73,NA,1
Caranx bartholomaei,"JACK,YELLOW",Yellow jack,3864,Caranginae,jacks,reef-associated,100,NA,NA
