area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,9.3798886362,67143.2050180617
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,8.7898254457,13338.077745878532
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,11.8354428859
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,13.4792543978
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,65.2316352378,98985.4266917239
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,74.2915845764,112733.40262113001
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,33.3970554781,50678.198924367076
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,38.0355354056,57716.83766386249
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,42.7555555556,64879.20921617785
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,45.5620007432,72154.10287328008
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,11.0005714286,17421.016407855383
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,12.5284285714,19840.60202005746
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,6.9835957505,0.9776785923492628
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,21.1147540984,2.9559905530491863
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,58.5282618243,144626.6963629784
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,15.1125000000,37343.8554411
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Balistidae","Triggerfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","US Virgin Isl.",Artisanal,Landings,Reported,small scale lines,Direct human consumption,15.1125000000,37343.8554411
